AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MN0730300,Paynesville Police Dept,Stearns,2010,0,0,0,0,0,0,1,0,0,0,4,0,32,0,20,84,2,0,0,0,0,24,0,1,17,0,0
MN0730400,St Cloud Police Dept,Stearns,2010,0,0,0,0,0,0,1,0,0,3,58,43,636,0,347,2102,93,18,3,13,8,493,0,33,726,14,2
MN0730500,Sauk Centre Police Dept,Stearns,2010,0,0,0,2,0,0,0,0,0,0,0,0,23,0,12,66,3,2,0,0,0,22,0,3,22,1,1
MN0730600,Waite Park Police Dept,Stearns,2010,0,0,0,0,0,0,0,0,0,0,5,7,83,0,29,648,6,1,0,3,3,79,0,7,429,5,1
MN0730700,Richmond Police Dept,Stearns,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MN0730800,Belgrade Police Dept,Stearns,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0731000,Kimball Police Dept,Stearns,2010,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,4,0,0,0,0,0
MN0731100,St Joseph Police Dept,Stearns,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN0731200,Sartell Police Dept,Stearns,2010,0,0,0,0,0,0,0,0,0,0,5,0,28,0,29,150,1,3,0,1,0,22,0,8,48,0,0
MN0731400,Albany Police Dept,Stearns,2010,0,0,0,0,0,1,4,0,0,0,1,0,10,0,7,17,2,0,0,0,0,9,0,1,4,0,0
